Epoch,Phase,Train_Total_Loss,Train_Main_OHEM_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,AMP_Scale,AMP_Overflow_Skips,Epoch_Time_sec,Cumulative_Training_Time
161,train/val,1.0775021343775417,0.8435820211534915,0.584800271074409,0.26744293510979333,63.32306452045664,62.15336228689131,72.32324912400254,71.56390722494132,89.96266405842609,91.14662599425012,79.20654878601047,77.55011560706937,72.32324912400254,71.56390722494132,74.50586237765803,72.99918793724596,89.96266405842609,91.14662599425012,89.96266405842609,91.14662599425012,89.96266405842609,91.14662599425012,0.0006951484463662204,16384.0,0,17.76667809486389,0:46:30
162,train/val,1.0619462219917255,0.8332191488665083,0.5718176743906477,0.27604208490328647,63.74410729178087,61.82613707755763,72.67487276926884,71.53734983031552,90.17370132728124,90.91090411285528,79.23809016227843,76.70866912991454,72.67487276926884,71.53734983031552,74.71764864026179,72.82778667808483,90.17370132728124,90.91090411285528,90.17370132728124,90.91090411285528,90.17370132728124,90.91090411285528,0.000693211973756435,16384.0,0,17.845294952392578,0:46:48
163,train/val,1.0422794741132986,0.8187287414203519,0.5588768246057241,0.2615238438384425,63.63321079848342,63.174717712970505,72.3883250318113,71.77710067362173,90.45658348194638,91.29855295056788,79.51681546750994,79.58038130191481,72.3883250318113,71.77710067362173,74.50593945223478,74.02388497532857,90.45658348194638,91.29855295056788,90.45658348194638,91.29855295056788,90.45658348194638,91.29855295056788,0.0006912748999042005,16384.0,0,17.24694037437439,0:47:05
164,train/val,1.0747830929315607,0.8316698566727017,0.6077830853021663,0.2624067338516165,63.103633322255504,63.04214200554627,72.12599523021166,71.8446621527147,90.05858845838837,91.37592731990212,78.45521552981054,78.67592514777812,72.12599523021166,71.8446621527147,74.06929425270636,73.90522340724146,90.05858845838837,91.37592731990212,90.05858845838837,91.37592731990212,90.05858845838837,91.37592731990212,0.0006893372227496847,16384.0,0,17.270955324172974,0:47:22
165,train/val,1.0709179001657858,0.8354134177384169,0.5887611926249836,0.2623234175721121,63.94021476408379,63.83841718557781,72.9187960464623,73.0939332864687,89.8656104207761,91.42279292840287,79.7416685324863,78.16898864148808,72.9187960464623,73.0939332864687,74.98055608213747,74.7274306025303,89.8656104207761,91.42279292840287,89.8656104207761,91.42279292840287,89.8656104207761,91.42279292840287,0.0006873989402195422,16384.0,0,17.365334033966064,0:47:39
166,train/val,1.0861984319660973,0.8490807141946709,0.5927942923229673,0.2612998604622696,63.25820250154162,63.75291740437915,72.44265130141116,73.34650585315156,89.91267385894822,91.4123658272519,78.79555682895017,78.29356537470069,72.44265130141116,73.34650585315156,74.30301768713446,74.583979394356,89.91267385894822,91.4123658272519,89.91267385894822,91.4123658272519,89.91267385894822,91.4123658272519,0.0006854600502267811,16384.0,0,17.51194167137146,0:47:57
167,train/val,1.0964521736554478,0.8609696795111117,0.5887062309876732,0.25801953929046484,62.61493403346103,63.28334324392977,71.52274078834974,71.61678835407186,89.82454259942652,91.422717305229,78.63057060378945,79.77582853526464,71.52274078834974,71.61678835407186,73.75853723726301,74.06619439627337,89.82454259942652,91.422717305229,89.82454259942652,91.422717305229,89.82454259942652,91.422717305229,0.0006835205506706299,16384.0,0,17.224918365478516,0:48:14
168,train/val,1.061868738868962,0.8300313742264457,0.5795933907122716,0.2611087323895314,63.9946963681328,63.38238505955839,72.91543636382104,72.24160495648219,89.99044127555837,91.25748956715297,79.70684460296543,79.42868011867947,72.91543636382104,72.24160495648219,75.04431461223379,74.21936222477551,89.99044127555837,91.25748956715297,89.99044127555837,91.25748956715297,89.99044127555837,91.25748956715297,0.0006815804394364059,16384.0,0,17.41871738433838,0:48:32
169,train/val,1.068159852662812,0.8358368653318156,0.5808074597431265,0.2669551510419057,63.3802869227555,63.24909550165327,72.51351063954549,72.14951260220168,90.1823664813357,91.13171043530849,78.63391030938935,78.86399778798693,72.51351063954549,72.14951260220168,74.41575458850093,74.18059917855875,90.1823664813357,91.13171043530849,90.1823664813357,91.13171043530849,90.1823664813357,91.13171043530849,0.0006796397143953755,16384.0,0,17.376808404922485,0:48:49
170,train/val,1.0283788060364516,0.8104866769002831,0.5447303208967914,0.2567361188057485,64.28520712573102,63.628808385562266,73.2988224519909,72.83810056604821,90.5881262246331,91.42857587699342,79.40258396555848,78.85714245670687,73.2988224519909,72.83810056604821,75.15142868768048,74.52099730461069,90.5881262246331,91.42857587699342,90.5881262246331,91.42857587699342,90.5881262246331,91.42857587699342,0.0006776983734046156,16384.0,0,17.41717529296875,0:49:06
